,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend,curr_price,return,recommendation,etf
228,"MDU Resources Group, Inc. Common Stock (Holding Company)",MDU,11/01/2024,10/31/2024,12.875,0.52,17.93,718.0702732849973,strong_buy,
1554,Bebe Stores Inc,BEBE,11/25/2024,11/22/2024,2.0,0.16,3.4,588.2352941176471,none,
1562,Aker Solutions ASA ADR,AKRYY,11/26/2024,12/16/2024,2.81765,3.0391,8.72,323.125,none,
430,CLPS Incorporation Common Stock,CLPS,11/04/2024,11/12/2024,0.13,0.0,1.05,123.80952380952381,none,
1473,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),CPAC,11/21/2024,12/17/2024,0.5421129,1.0827,6.19,87.57882067851372,hold,
1048,"Enzo Biochem, Inc. Common Stock ($0.01 Par Value)",ENZ,11/15/2024,12/02/2024,0.1,0.4,1.15,86.95652173913044,none,
489,"Berry Global Group, Inc. Common Stock",BERY,11/05/2024,11/04/2024,5.8162203,1.24,67.29,86.43513597860009,hold,
1319,"General American Investors, Inc. Common Stock",GAM,11/18/2024,12/27/2024,4.5,4.5,55.05,81.74386920980926,none,
1297,"Weyco Group, Inc. Common Stock",WEYS,11/18/2024,1/02/2025,2.26,1.04,38.47,58.747075643358464,none,
1376,Chesapeake Granite Wash Trust Units,CHKR,11/19/2024,11/29/2024,0.0267,0.1068,0.455,58.681318681318686,none,
538,"NextEra Energy Partners, LP Common Units representing limited partner interests",NEP,11/06/2024,11/14/2024,0.9175,3.67,17.5,52.42857142857143,hold,
449,Investcorp Europe Acquisition Corp I Class A Ordinary Shares,IVCB,11/04/2024,11/12/2024,0.6,0.0,11.55,51.94805194805195,none,
1377,d'Amico International Shipping SA,DMCOF,11/19/2024,11/20/2024,0.252,0.504,4.86,51.85185185185185,none,
1421,TORM plc Class A Common Stock,TRMD,11/21/2024,12/04/2024,1.2,7.2,23.97,50.06257822277848,buy,
1275,China Hongqiao Group Limited ADR,CHHQY,11/15/2024,12/20/2024,0.631467,1.1057,13.26,47.62194570135747,none,
1539,Stolt-Nielsen Limited,SOIEF,11/22/2024,12/04/2024,1.25,2.5,27.95,44.72271914132379,none,
1021,Central Securities Corporation Common Stock,CET,11/15/2024,12/20/2024,2.05,4.1,49.09,41.760032593196165,none,
1258,Security National Corp.,SNLC,11/15/2024,11/29/2024,6.0,2.0,144.5,41.522491349480966,none,
1685,Turbotville National Bank,TVNB,11/29/2024,12/13/2024,2.8,0.7,70.0,40.0,none,
1552,Altair Corp,ATCD,11/25/2024,12/23/2024,48.1,48.1,1235.0,38.94736842105263,none,
1291,Runway Growth Finance Corp. Common Stock,RWAY,11/18/2024,12/02/2024,0.4,1.8,10.55,37.91469194312796,hold,
1372,Mediobanca - Banca Di Credito Finanziario Spa ADR,MDIBY,11/19/2024,1/01/0001,0.60928,0.4009,16.32,37.333333333333336,none,
494,Dorian LPG Ltd. Common Stock,LPG,11/05/2024,11/25/2024,1.0,0.0,26.86,37.230081906180196,buy,
1413,Guoco Group Ltd. ADR,GULRY,11/20/2024,12/18/2024,0.694989,1.39,18.72,37.12548076923077,none,
992,Office Properties Income Trust 6.375% Senior Notes due 2050,OPINL,11/15/2024,12/01/2024,0.3984375,1.59375,11.0514,36.053124491014714,none,
889,FNB Inc,FIDS,11/13/2024,12/01/2024,0.9,1.8,25.0,36.0,none,
520,Primo Water Corporation Common Stock,PRMW,11/05/2024,11/21/2024,0.82,0.36,24.21,33.87030152829409,buy,
1253,Chester Bancorp Inc.,CNBA,11/15/2024,11/29/2024,0.15,0.6,4.5,33.333333333333336,none,
1691,AmTrust Financial Services Inc 7.75% PRF PERPETUAL USD 25 - Ser E,AFSIM,11/29/2024,12/16/2024,0.484375,1.9375,14.6,33.1763698630137,none,
1700,First Real Estate Investment Trust of New Jersey Inc.,FREVS,11/29/2024,12/13/2024,0.58,0.48,17.5,33.142857142857146,none,
1688,AmTrust Financial Services Inc 7.25% PRF PERPETUAL USD 25 - Ser B,AFSIB,11/29/2024,12/16/2024,0.453125,1.8125,13.86,32.69300144300144,none,
1268,Rubis ADR,RBSFY,11/15/2024,11/25/2024,0.163245,0.1632,5.0,32.649,none,
1269,Rubis ADR,RBSFY,11/15/2024,11/25/2024,0.163245,0.1632,5.0,32.649,none,
