,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend
0,AB Core Plus Bond ETF,CPLS,11/01/2024,11/06/2024,0.134,1.608
1,AB Corporate Bond ETF,EYEG,11/01/2024,11/06/2024,0.1515,1.818
2,AB High Yield ETF,HYFI,11/01/2024,11/06/2024,0.2061,2.443
3,AB Short Duration High Yield ETF,SYFI,11/01/2024,11/06/2024,0.157,2.1144
4,AB Short Duration Income ETF,SDFI,11/01/2024,11/06/2024,0.152,1.749
5,AB Tax-Aware Intermediate Municipal ETF,TAFM,11/01/2024,11/06/2024,0.0591,0.8523
6,AB Tax-Aware Long Municipal ETF,TAFL,11/01/2024,11/06/2024,0.087,0.9512
7,AB Tax-Aware Short Duration Municipal ETF,TAFI,11/01/2024,11/06/2024,0.0688,0.8047
8,AB Ultra Short Income ETF,YEAR,11/01/2024,11/06/2024,0.2017,2.621
9,Academy Veteran Impact ETF,VETZ,11/01/2024,11/06/2024,0.0936,1.0562
10,ActivePassive Core Bond ETF,APCB,11/01/2024,11/04/2024,0.10195583,1.1263
11,ActivePassive Intermediate Municipal Bond ETF,APMU,11/01/2024,11/04/2024,0.05392845,0.5526
12,"AG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",MITN,11/01/2024,11/15/2024,0.59375,2.375
13,"AG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",MITP,11/01/2024,11/15/2024,0.59375,2.375
14,Ally Financial Inc. Common Stock,ALLY,11/01/2024,11/15/2024,0.3,1.2
15,American Century California Municipal Bond ETF,CATF,11/01/2024,11/05/2024,0.1339,1.4244
16,American Century Diversified Corporate Bond ETF,KORP,11/01/2024,11/05/2024,0.2012,2.3038
17,American Century Diversified Municipal Bond ETF,TAXF,11/01/2024,11/05/2024,0.1539,1.6613
18,American Century Multisector Floating Income ETF,FUSI,11/01/2024,11/05/2024,0.269,3.1392
19,American Century Multisector Income ETF,MUSI,11/01/2024,11/05/2024,0.2302,2.5248
20,American Century Select High Yield ETF,AHYB,11/01/2024,11/05/2024,0.2384,2.6001
21,American Century Short Duration Strategic Income ETF,SDSI,11/01/2024,11/05/2024,0.2329,2.7948
22,Ames National Corporation Common Stock,ATLO,11/01/2024,11/15/2024,0.2,0.8
23,Aon plc Class A Ordinary Shares (Ireland),AON,11/01/2024,11/15/2024,0.675,2.7
24,Australian Dollar Trust,FXA,11/01/2024,11/07/2024,0.0855,0.9738
